# Types: key<TAB>description
# Functions: key<TAB>call form<TAB>description
# keys:
# - type:<type name>
# - fn:<function name> (function entries also include a call form)
type:Dict	Immutable mapping from string keys to values of one type.
type:List	Immutable ordered sequence.
type:Option	Optional value (`Some` or `None`).
type:Ordering	Three-way comparison result (`Less`, `Equal`, or `Greater`).
type:Result	Result value (`Ok` or `Err`) for success/failure flows.
type:Bool	Boolean truth value.
type:Char	One Unicode scalar value, matching Rust's `char`.
type:DateTime	UTC timestamp value.
type:f32	32-bit floating-point number.
type:f64	64-bit floating-point number.
type:Hash	BLAKE3 hash value.
type:i16	16-bit signed integer.
type:i32	32-bit signed integer.
type:i64	64-bit signed integer.
type:i8	8-bit signed integer.
type:String	UTF-8 string value.
type:u16	16-bit unsigned integer.
type:u32	32-bit unsigned integer.
type:u64	64-bit unsigned integer.
type:u8	8-bit unsigned integer.
type:UUID	UUID value.
fn:!=	left != right	Returns `true` when `left` and `right` are not equal. Lists, options, and results require their contained types to support equality.
fn:%	left % right	Returns the remainder after dividing `left` by `right`.
fn:&&	left && right	Returns `true` only when both `left` and `right` are `true`.
fn:*	left * right	Multiplies `left` by `right`.
fn:+	left + right	Adds `left` and `right`; for lists and strings, concatenates `left` with `right`.
fn:-	left - right	Subtracts `right` from `left`.
fn:/	left / right	Divides `left` by `right`.
fn:<	left < right	Returns `true` when `left` is less than `right`.
fn:<=	left <= right	Returns `true` when `left` is less than or equal to `right`.
fn:==	left == right	Returns `true` when `left` and `right` are equal. Lists, options, and results require their contained types to support equality.
fn:>	left > right	Returns `true` when `left` is greater than `right`.
fn:>=	left >= right	Returns `true` when `left` is greater than or equal to `right`.
fn:Cons	Cons head tail	Constructs a non-empty list whose first element is `head` and whose remaining elements are `tail`.
fn:Empty	Empty	The empty list constructor.
fn:Err	Err error	Constructs a failed `Result` containing `error`.
fn:Equal	Equal	The `Ordering` value returned when two values are equal.
fn:Greater	Greater	The `Ordering` value returned when the left value is greater than the right value.
fn:Less	Less	The `Ordering` value returned when the left value is less than the right value.
fn:None	None	The empty `Option` constructor.
fn:Ok	Ok value	Constructs a successful `Result` containing `value`.
fn:Some	Some value	Constructs a present `Option` containing `value`.
fn:ap	ap functions values	Applies the wrapped functions in `functions` to the wrapped values in `values`.
fn:bind	bind transform container	Applies `transform` to each successful value in `container` and flattens the resulting container layer.
fn:chars_to_string	chars_to_string chars	Concatenates the Unicode scalar values in `chars` into a string.
fn:cmp	cmp left right	Returns `Less`, `Equal`, or `Greater` according to the ordering of `left` relative to `right`.
fn:length	length value	Returns the number of list elements, dictionary entries, or string Unicode scalar values in `value`.
fn:default	default	Returns the canonical default value for the inferred result type. For `Result a e`, the success type `a` must also have a default.
fn:dict_empty	dict_empty	Constructs an empty dictionary.
fn:dict_entries	dict_entries dictionary	Returns the key/value tuples from `dictionary` in lexicographic key order.
fn:dict_filter	dict_filter predicate dictionary	Keeps the entries from `dictionary` for which `predicate` returns `true`; `predicate` receives each `(key, value)` tuple.
fn:dict_from_entries	dict_from_entries entries	Constructs a dictionary from `entries`; when a key occurs more than once, its later value wins.
fn:dict_get	dict_get key dictionary	Looks up `key` in `dictionary`, returning `Some value` when present or `None` when absent.
fn:dict_has	dict_has key dictionary	Returns whether `dictionary` contains `key`.
fn:dict_insert	dict_insert key value dictionary	Returns `dictionary` with `key` associated with `value`, replacing the previous value when the key exists.
fn:dict_is_empty	dict_is_empty dictionary	Returns whether `dictionary` has no entries.
fn:dict_keys	dict_keys dictionary	Returns the keys from `dictionary` in lexicographic order.
fn:dict_map	dict_map transform dictionary	Applies `transform` to each `(key, value)` tuple in `dictionary`; later collisions in input-key order win.
fn:dict_remove	dict_remove key dictionary	Returns `dictionary` without `key`.
fn:dict_singleton	dict_singleton key value	Constructs a dictionary containing the single association from `key` to `value`.
fn:dict_update	dict_update key update dictionary	Calls `update` with the optional current value for `key`; returning `Some value` inserts or replaces the entry, while returning `None` removes it.
fn:dict_values	dict_values dictionary	Returns the values from `dictionary` in lexicographic key order.
fn:filter	filter predicate container	Keeps each value in `container` for which `predicate` returns `true`.
fn:filter_map	filter_map transform container	Applies `transform` to each value in `container` and drops every result that is `None`.
fn:first	first count list	Returns the first `count` elements of `list`; raises an error when `count` is out of range.
fn:fold	fold step initial container	Reduces `container` from left to right by applying `step` to the accumulator and each value, beginning with `initial`.
fn:foldl	foldl step initial container	Strictly reduces `container` from left to right by applying `step` to the accumulator and each value, beginning with `initial`.
fn:foldr	foldr step initial container	Reduces `container` from right to left by applying `step` to each value and the accumulator, beginning with `initial`.
fn:is_err	is_err result	Returns whether `result` is `Err`.
fn:is_none	is_none option	Returns whether `option` is `None`.
fn:is_ok	is_ok result	Returns whether `result` is `Ok`.
fn:is_some	is_some option	Returns whether `option` is `Some`.
fn:last	last count list	Returns the last `count` elements of `list`; raises an error when `count` is out of range.
fn:list_all	list_all predicate list	Returns whether `predicate` is `true` for every element, stopping at the first `false` result.
fn:list_any	list_any predicate list	Returns whether `predicate` is `true` for any element, stopping at the first `true` result.
fn:list_concat	list_concat lists	Concatenates the nested `lists` into one list while preserving their order.
fn:list_count	list_count predicate list	Returns the number of elements for which `predicate` returns `true`.
fn:list_find	list_find predicate list	Returns the first element for which `predicate` returns `true`, or `None` when no element matches.
fn:list_find_index	list_find_index predicate list	Returns the zero-based index of the first matching element, or `None` when no element matches.
fn:list_get	list_get index list	Returns the element at zero-based `index`, or `None` when `index` is out of bounds.
fn:list_partition	list_partition predicate list	Returns matching and non-matching elements as a pair of lists, preserving their relative order.
fn:list_repeat	list_repeat count value	Returns a list containing `count` copies of `value`.
fn:list_reverse	list_reverse list	Returns the elements of `list` in reverse order.
fn:list_slice	list_slice start end list	Returns the half-open range `start..end`, or `None` for invalid bounds.
fn:map	map transform container	Applies `transform` to every value in `container` while preserving its structure.
fn:max	max values	Returns the greatest element in `values` according to its ordering; raises an error when `values` is empty.
fn:mean	mean values	Returns the arithmetic mean of `values`; raises an error when `values` is empty.
fn:min	min values	Returns the least element in `values` according to its ordering; raises an error when `values` is empty.
fn:negate	negate value	Returns the additive inverse of `value`.
fn:one	one	Returns the multiplicative identity for the inferred result type.
fn:or_else	or_else fallback value	Returns `value` when it is non-empty, present, or successful; otherwise applies `fallback` to `value`.
fn:parse	parse input	Attempts to convert `input` to the result type selected by context, returning `Some value` on success or `None` for malformed or out-of-range input.
fn:show	show value	Renders `value` as a human-readable string. Lists, options, and results require their contained types to be renderable.
fn:slice	slice start end list	Returns elements in the half-open range `start..end` from `list`; raises an error for out-of-range bounds or when `end < start`.
fn:string_contains	string_contains needle haystack	Returns whether `haystack` contains `needle` as a substring.
fn:string_ends_with	string_ends_with suffix input	Returns whether `input` ends with `suffix`.
